3.625 4.125 11.1641 3.53906 10.8792 -2.375 4.125 11.1641 4.27247 -3.75389 11.5055 4.27247 11.5055 -3.75389
3.6875 3.9375 11.416 3.40039 11.096 -2.0625 3.9375 11.416 4.0385 -3.72316 11.7652 4.0385 11.7652 -3.72316
3.75 3.75 11.6562 3.28125 11.3047 -1.75 3.75 11.6562 3.80831 -3.63278 12.0104 3.80831 12.0104 -3.63278
3.8125 3.5625 11.8848 3.18164 11.5066 -1.4375 3.5625 11.8848 3.58564 -3.48273 12.2414 3.58564 12.2414 -3.48273
3.875 3.375 12.1016 3.10156 11.7028 -1.125 3.375 12.1016 3.37422 -3.27303 12.4589 3.37422 12.4589 -3.27303
3.9375 3.1875 12.3066 3.04102 11.8947 -0.8125 3.1875 12.3066 3.17776 -3.00366 12.6635 3.17776 12.6635 -3.00366
4 3 12.5 3 12.0833 -0.5 3 12.5 3 -2.67464 12.8565 3 12.8565 -2.67464
4.0625 2.875 12.6836 2.96289 12.2697 -0.6875 2.875 12.6836 2.84351 -2.34153 13.039 2.84351 13.039 -2.34153
4.125 2.75 12.8594 2.91406 12.4535 -0.875 2.75 12.8594 2.70624 -2.05988 13.2123 2.70624 13.2123 -2.05988
4.1875 2.625 13.0273 2.85352 12.6337 -1.0625 2.625 13.0273 2.58496 -1.82971 13.3776 2.58496 13.3776 -1.82971
4.25 2.5 13.1875 2.78125 12.8099 -1.25 2.5 13.1875 2.47645 -1.65102 13.5357 2.47645 13.5357 -1.65102
4.3125 2.375 13.3398 2.69727 12.9812 -1.4375 2.375 13.3398 2.37751 -1.52379 13.6873 2.37751 13.6873 -1.52379
4.375 2.25 13.4844 2.60156 13.1468 -1.625 2.25 13.4844 2.2849 -1.44804 13.833 2.2849 13.833 -1.44804
4.4375 2.125 13.6211 2.49414 13.3061 -1.8125 2.125 13.6211 2.19543 -1.42376 13.973 2.19543 13.973 -1.42376
4.5 2 13.75 2.375 13.4583 -2 2 13.75 2.10586 -1.45096 14.1074 2.10586 14.1074 -1.45096
4.5625 1.875 13.8711 2.24414 13.6027 -2.1875 1.875 13.8711 2.01299 -1.52962 14.2362 2.01299 14.2362 -1.52962
4.625 1.75 13.9844 2.10156 13.7386 -2.375 1.75 13.9844 1.91359 -1.65976 14.3589 1.91359 14.3589 -1.65976
4.6875 1.625 14.0898 1.94727 13.8652 -2.5625 1.625 14.0898 1.80444 -1.84138 14.4752 1.80444 14.4752 -1.84138
4.75 1.5 14.1875 1.78125 13.9818 -2.75 1.5 14.1875 1.68234 -2.07446 14.5842 1.68234 14.5842 -2.07446
4.8125 1.375 14.2773 1.60352 14.0876 -2.9375 1.375 14.2773 1.54406 -2.35902 14.6851 1.54406 14.6851 -2.35902
4.875 1.25 14.3594 1.41406 14.182 -3.125 1.25 14.3594 1.38639 -2.69505 14.7768 1.38639 14.7768 -2.69505
4.9375 1.125 14.4336 1.21289 14.2641 -3.3125 1.125 14.4336 1.20611 -3.08255 14.8579 1.20611 14.8579 -3.08255
5 1 14.5 1 14.3333 -3.5 1 14.5 1 -3.52153 14.927 1 14.927 -3.52153
5.0625 0.625 14.5508 0.771484 14.3888 -3.8125 0.625 14.5508 0.765685 -3.97172 14.9824 0.765685 14.9824 -3.97172
5.125 0.25 14.5781 0.523438 14.4294 -4.125 0.25 14.5781 0.50414 -4.39287 15.0222 0.50414 15.0222 -4.39287
5.1875 -0.125 14.582 0.255859 14.4538 -4.4375 -0.125 14.582 0.217181 -4.78497 15.0448 0.217181 15.0448 -4.78497
5.25 -0.5 14.5625 -0.03125 14.4609 -4.75 -0.5 14.5625 -0.0933762 -5.14803 15.0488 -0.0933762 15.0488 -5.14803
5.3125 -0.875 14.5195 -0.337891 14.4495 -5.0625 -0.875 14.5195 -0.425717 -5.48204 15.0327 -0.425717 15.0327 -5.48204
5.375 -1.25 14.4531 -0.664062 14.4183 -5.375 -1.25 14.4531 -0.778026 -5.78701 14.9952 -0.778026 14.9952 -5.78701
5.4375 -1.625 14.3633 -1.00977 14.3661 -5.6875 -1.625 14.3633 -1.14849 -6.06293 14.9351 -1.14849 14.9351 -6.06293
5.5 -2 14.25 -1.375 14.2917 -6 -2 14.25 -1.53529 -6.30981 14.8513 -1.53529 14.8513 -6.30981
5.5625 -2.375 14.1133 -1.75977 14.1938 -6.3125 -2.375 14.1133 -1.93661 -6.52764 14.7429 -1.93661 14.7429 -6.52764
5.625 -2.75 13.9531 -2.16406 14.0713 -6.625 -2.75 13.9531 -2.35064 -6.71643 14.609 -2.35064 14.609 -6.71643
5.6875 -3.125 13.7695 -2.58789 13.9229 -6.9375 -3.125 13.7695 -2.77556 -6.87618 14.4488 -2.77556 14.4488 -6.87618
5.75 -3.5 13.5625 -3.03125 13.7474 -7.25 -3.5 13.5625 -3.20955 -7.00688 14.2618 -3.20955 14.2618 -7.00688
5.8125 -3.875 13.332 -3.49414 13.5436 -7.5625 -3.875 13.332 -3.65081 -7.10853 14.0475 -3.65081 14.0475 -7.10853
5.875 -4.25 13.0781 -3.97656 13.3102 -7.875 -4.25 13.0781 -4.09752 -7.18115 13.8054 -4.09752 13.8054 -7.18115
5.9375 -4.625 12.8008 -4.47852 13.0461 -8.1875 -4.625 12.8008 -4.54785 -7.22471 13.5352 -4.54785 13.5352 -7.22471
6 -5 12.5 -5 12.75 -8.5 -5 12.5 -5 -7.23923 13.2368 -5 13.2368 -7.23923
